School	Enrollment	Cost/Pupil	AveTeach$	SATV	SATM	SATPartRat	10MCASEng	10MCASMth	S/TRatio	S/CRatio	DroptRate	%College	%2YrPub	%4YrPub	%2YrPri	%4YrPri	%Military	%Work	%Other
Everett	1592.00	5897.00	51453.00	444.00	457.00	0.55	238.00	232.00	14.00	265.00	2.70	74.00	24.00	15.00	10.00	25.00	3.00	16.00	7.00
Foxborough	998.00	6356.00	46633.00	506.00	521.00	0.82	245.00	244.00	13.00	200.00	0.20	88.00	13.00	45.00	0.00	30.00	2.00	7.00	3.00
Framingham	1878.00	7168.00	48120.00	511.00	533.00	0.83	243.00	242.00	13.00	235.00	3.50	85.00	16.00	28.00	2.00	39.00	2.00	11.00	2.00
Franklin	1137.00	7394.00	44881.00	534.00	525.00	0.88	247.00	245.00	12.00	284.00	1.00	83.00	12.00	41.00	2.00	28.00	1.00	11.00	5.00
Georgetown	683.00	6671.00	41674.00	525.00	531.00	1.00	241.00	244.00	11.00	228.00	0.90	78.00	16.00	38.00	0.00	24.00	4.00	18.00	0.00
Gloucester	1349.00	6064.00	42498.00	479.00	486.00	0.55	237.00	233.00	13.00	337.00	1.10	59.00	3.00	25.00	15.00	16.00	3.00	5.00	33.00
Hamilton-WenhamRegional	729.00	7775.00	37065.00	554.00	534.00	0.93	250.00	249.00	12.00	182.00	0.60	90.00	10.00	32.00	1.00	47.00	1.00	4.00	5.00
Hanover	716.00	6378.00	51968.00	525.00	513.00	0.81	248.00	244.00	13.00	239.00	0.20	89.00	8.00	19.00	2.00	60.00	0.00	6.00	5.00
Haverhill	1884.00	6029.00	47773.00	494.00	475.00	0.73	236.00	235.00	16.00	236.00	3.90	79.00	29.00	25.00	4.00	21.00	5.00	12.00	4.00
Hingham	862.00	7047.00	52564.00	556.00	565.00	0.92	251.00	248.00	14.00	216.00	0.10	88.00	3.00	20.00	4.00	61.00	1.00	7.00	4.00
HolbrookJunior-Senior	574.00	6635.00	49426.00	505.00	471.00	0.71	237.00	233.00	13.00	287.00	1.30	81.00	24.00	22.00	11.00	24.00	4.00	16.00	0.00
Holliston	819.00	6272.00	42252.00	542.00	560.00	0.95	244.00	246.00	13.00	273.00	1.10	94.00	5.00	31.00	1.00	57.00	0.00	4.00	2.00
Hopkinton	620.00	6210.00	47249.00	531.00	531.00	0.89	250.00	249.00	13.00	207.00	1.10	94.00	8.00	30.00	5.00	51.00	2.00	1.00	3.00
Hudson	934.00	6004.00	46469.00	523.00	524.00	0.69	242.00	239.00	15.00	187.00	2.60	79.00	18.00	30.00	1.00	30.00	2.00	15.00	4.00
Hull	453.00	8574.00	40520.00	458.00	454.00	0.72	235.00	229.00	11.00	227.00	0.90	78.00	12.00	30.00	0.00	36.00	1.00	7.00	14.00
Ipswich	505.00	6646.00	47686.00	513.00	520.00	0.76	243.00	243.00	14.00	253.00	2.40	78.00	0.00	27.00	12.00	39.00	1.00	15.00	6.00
KingPhilipRegional	1024.00	7008.00	49575.00	545.00	527.00	0.92	245.00	245.00	14.00	256.00	2.20	81.00	7.00	33.00	2.00	39.00	3.00	6.00	10.00
Lawrence	1982.00	5728.00	44061.00	387.00	381.00	0.60	223.00	221.00	13.00	153.00	12.20	77.00	40.00	21.00	4.00	12.00	3.00	16.00	4.00
Lexington	1659.00	7270.00	53490.00	591.00	599.00	0.98	253.00	252.00	14.00	151.00	0.20	95.00	4.00	23.00	6.00	62.00	1.00	2.00	3.00
Lincoln-SudburyRegional	1242.00	9166.00	52619.00	584.00	593.00	0.96	252.00	253.00	11.00	155.00	0.30	87.00	4.00	18.00	0.00	65.00	1.00	5.00	7.00
Littleton	524.00	6812.00	41549.00	538.00	532.00	0.78	248.00	244.00	13.00	262.00	0.70	75.00	12.00	22.00	0.00	41.00	5.00	12.00	8.00
Lowell	3526.00	5739.00	50004.00	444.00	464.00	0.57	233.00	231.00	17.00	302.00	11.60	79.00	30.00	33.00	2.00	14.00	3.00	9.00	9.00
LynnClassical	1447.00	6431.00	46372.00	448.00	460.00	0.57	233.00	231.00	17.00	289.00	1.60	77.00	20.00	25.00	6.00	26.00	2.00	8.00	13.00
LynnEnglish	1275.00	6431.00	46372.00	437.00	455.00	0.45	232.00	230.00	15.00	255.00	1.40	78.00	29.00	20.00	8.00	21.00	6.00	10.00	6.00
Lynnfield	511.00	7754.00	42421.00	529.00	537.00	0.93	249.00	245.00	12.00	170.00	0.80	95.00	9.00	19.00	2.00	65.00	0.00	1.00	4.00
Malden	1504.00	8893.00	50805.00	440.00	475.00	0.64	235.00	234.00	12.00	301.00	4.10	69.00	18.00	20.00	4.00	27.00	5.00	6.00	20.00
ManchesterEssexRegional	488.00	6249.00	38809.00	546.00	559.00	0.86	256.00	248.00	11.00	163.00	0.00	82.00	7.00	56.00	0.00	19.00	0.00	14.00	4.00
Mansfield	893.00	7353.00	43657.00	517.00	536.00	0.83	245.00	242.00	14.00	179.00	1.80	79.00	12.00	40.00	0.00	27.00	2.00	15.00	4.00
Marblehead	775.00	7798.00	49727.00	539.00	541.00	0.94	251.00	247.00	12.00	258.00	0.10	92.00	5.00	22.00	1.00	64.00	1.00	3.00	4.00
Marlborough	1381.00	7124.00	47867.00	490.00	496.00	0.83	241.00	241.00	12.00	230.00	1.20	74.00	8.00	28.00	3.00	35.00	1.00	15.00	10.00
Marshfield	1249.00	5712.00	46682.00	519.00	524.00	0.82	242.00	238.00	13.00	208.00	2.20	77.00	10.00	24.00	3.00	40.00	2.00	15.00	6.00
MasconometRegional	1088.00	7249.00	50000.00	544.00	557.00	0.94	253.00	250.00	13.00	272.00	1.20	90.00	6.00	40.00	0.00	44.00	1.00	4.00	5.00
Maynard	455.00	7551.00	36410.00	520.00	539.00	0.80	242.00	241.00	15.00	228.00	3.20	76.00	4.00	38.00	9.00	25.00	4.00	9.00	11.00
MedfieldSenior	666.00	6778.00	43385.00	552.00	562.00	0.97	252.00	249.00	13.00	222.00	0.00	94.00	2.00	32.00	0.00	60.00	1.00	5.00	0.00
Medford	1103.00	6576.00	45570.00	464.00	477.00	0.70	236.00	232.00	14.00	184.00	2.10	73.00	14.00	22.00	6.00	31.00	2.00	14.00	11.00
Medway	633.00	6681.00	48422.00	526.00	518.00	0.94	247.00	243.00	15.00	317.00	0.70	85.00	5.00	37.00	3.00	40.00	0.00	9.00	6.00
Melrose	958.00	6413.00	46037.00	527.00	518.00	0.85	247.00	242.00	12.00	192.00	0.60	87.00	12.00	28.00	9.00	38.00	2.00	12.00	0.00
Methuen	1783.00	6181.00	48705.00	473.00	491.00	0.67	236.00	234.00	15.00	178.00	1.10	78.00	22.00	29.00	2.00	25.00	3.00	16.00	3.00
Middleborough	925.00	6563.00	44995.00	504.00	489.00	0.69	239.00	233.00	14.00	308.00	3.10	72.00	19.00	21.00	1.00	31.00	5.00	21.00	2.00
Milford	1299.00	6412.00	44911.00	513.00	506.00	0.77	241.00	240.00	15.00	260.00	2.30	81.00	5.00	34.00	3.00	39.00	1.00	11.00	7.00
Millis	281.00	7232.00	48410.00	497.00	483.00	0.89	245.00	240.00	14.00	281.00	0.00	91.00	18.00	30.00	7.00	36.00	4.00	4.00	1.00
Milton	1046.00	5752.00	49214.00	539.00	506.00	0.93	244.00	238.00	16.00	209.00	1.00	90.00	4.00	34.00	3.00	49.00	1.00	2.00	7.00
Nashoba(Bolton.Lancaster.Stow)	764.00	7252.00	42471.00	539.00	540.00	0.80	250.00	250.00	13.00	127.00	1.30	88.00	12.00	34.00	3.00	39.00	1.00	4.00	7.00
Natick	1059.00	7480.00	48245.00	520.00	517.00	0.85	246.00	244.00	13.00	214.00	1.40	83.00	7.00	31.00	2.00	43.00	3.00	13.00	1.00
Needham	1214.00	7693.00	47363.00	566.00	582.00	1.00	252.00	252.00	14.00	202.00	0.50	91.00	2.00	33.00	2.00	54.00	2.00	4.00	3.00
NewBedford	3295.00	6075.00	45760.00	463.00	456.00	0.65	231.00	230.00	15.00	254.00	8.40	75.00	18.00	36.00	3.00	18.00	4.00	18.00	3.00
Newburyport	669.00	7672.00	41248.00	523.00	517.00	0.81	249.00	250.00	13.00	167.00	2.70	79.00	15.00	25.00	0.00	39.00	3.00	15.00	3.00
NewtonNorth	2144.00	8523.00	53008.00	581.00	612.00	0.87	252.00	252.00	10.00	143.00	0.80	85.00	5.00	23.00	1.00	56.00	2.00	6.00	7.00
NewtonSouth	1333.00	8523.00	53008.00	578.00	617.00	0.92	251.00	254.00	10.00	148.00	0.50	93.00	1.00	26.00	2.00	64.00	0.00	3.00	4.00
North(Worcester)	1073.00	5561.00	45106.00	421.00	430.00	0.47	230.00	227.00	15.00	268.00	4.50	75.00	34.00	20.00	6.00	15.00	3.00	15.00	7.00
NorthAndover	1041.00	5897.00	45961.00	519.00	520.00	0.86	248.00	245.00	14.00	174.00	2.30	87.00	11.00	34.00	1.00	41.00	1.00	7.00	5.00
NorthAttleborough	1120.00	6008.00	44243.00	534.00	530.00	0.85	240.00	238.00	15.00	224.00	2.40	76.00	9.00	31.00	2.00	34.00	2.00	20.00	2.00
NorthQuincy	1384.00	8132.00	50528.00	504.00	521.00	0.75	243.00	241.00	19.00	277.00	1.40	78.00	9.00	24.00	3.00	42.00	2.00	6.00	14.00
NorthReading	549.00	6625.00	48005.00	518.00	521.00	0.79	246.00	247.00	12.00	275.00	1.30	85.00	19.00	27.00	1.00	38.00	2.00	11.00	2.00
Norton	608.00	5846.00	41553.00	516.00	514.00	0.78	244.00	239.00	13.00	203.00	2.30	83.00	17.00	28.00	4.00	34.00	2.00	12.00	3.00
Norwell	556.00	8270.00	53921.00	545.00	543.00	0.91	248.00	248.00	15.00	185.00	0.00	92.00	7.00	20.00	2.00	63.00	0.00	6.00	2.00
Norwood	946.00	7212.00	46561.00	502.00	518.00	0.85	248.00	244.00	13.00	189.00	2.80	86.00	13.00	23.00	6.00	44.00	3.00	4.00	7.00
OliverAmes(Easton)	738.00	6415.00	46527.00	530.00	519.00	0.78	249.00	245.00	13.00	369.00	0.10	82.00	12.00	22.00	2.00	46.00	2.00	13.00	3.00
PeabodyVeteransMemorial	1768.00	7283.00	45525.00	492.00	502.00	0.69	237.00	237.00	14.00	253.00	3.60	81.00	16.00	35.00	6.00	24.00	1.00	17.00	1.00
PentucketRegionalSenior	910.00	6289.00	44508.00	532.00	530.00	0.82	250.00	247.00	11.00	152.00	1.70	80.00	17.00	24.00	0.00	39.00	2.00	15.00	3.00
PlymouthNorth	1021.00	8411.00	47547.00	520.00	531.00	0.77	244.00	239.00	13.00	204.00	5.60	84.00	22.00	26.00	2.00	34.00	4.00	9.00	3.00
PlymouthSouth	874.00	8411.00	47547.00	510.00	511.00	0.84	243.00	241.00	9.00	146.00	1.80	76.00	10.00	31.00	1.00	34.00	1.00	22.00	1.00
Quincy	1239.00	8132.00	50528.00	422.00	481.00	0.62	234.00	235.00	10.00	113.00	5.50	64.00	15.00	14.00	5.00	30.00	5.00	19.00	12.00
Randolph	1041.00	4675.00	41498.00	471.00	468.00	0.96	238.00	237.00	13.00	208.00	0.00	84.00	22.00	24.00	0.00	38.00	2.00	6.00	8.00
ReadingMemorial	1148.00	6402.00	49410.00	537.00	552.00	0.90	246.00	247.00	14.00	287.00	1.20	87.00	6.00	32.00	0.00	49.00	1.00	7.00	5.00
Revere	1367.00	7742.00	49562.00	453.00	461.00	0.81	233.00	232.00	12.00	342.00	7.50	78.00	0.00	17.00	36.00	25.00	5.00	18.00	0.00
RocklandSenior	989.00	5632.00	47011.00	493.00	512.00	0.65	238.00	237.00	18.00	247.00	2.50	83.00	26.00	27.00	2.00	28.00	5.00	3.00	9.00
Rockport	266.00	7524.00	47533.00	507.00	499.00	0.84	238.00	236.00	9.00	266.00	3.20	82.00	17.00	19.00	4.00	42.00	0.00	9.00	9.00
Salem	1158.00	7472.00	44564.00	484.00	491.00	0.60	231.00	230.00	10.00	165.00	2.20	79.00	28.00	15.00	3.00	33.00	4.00	12.00	5.00
Saugus	944.00	5584.00	43247.00	475.00	497.00	0.85	237.00	239.00	14.00	315.00	2.60	87.00	21.00	29.00	4.00	33.00	0.00	4.00	9.00
Scituate	778.00	6328.00	50052.00	518.00	540.00	0.91	245.00	245.00	15.00	195.00	2.10	89.00	7.00	41.00	1.00	40.00	1.00	3.00	7.00
Sharon	1030.00	6410.00	47001.00	557.00	570.00	0.96	251.00	252.00	11.00	258.00	1.10	94.00	2.00	36.00	1.00	55.00	0.00	3.00	3.00
ShrewsburySenoir	1044.00	6549.00	47212.00	524.00	525.00	0.85	251.00	249.00	15.00	348.00	1.10	83.00	12.00	33.00	0.00	38.00	2.00	5.00	10.00
SilverLakeRegional	1765.00	6891.00	48942.00	518.00	519.00	0.79	243.00	239.00	12.00	196.00	1.00	74.00	10.00	31.00	2.00	31.00	4.00	20.00	2.00
Somerville	1761.00	8359.00	41265.00	456.00	481.00	0.53	233.00	233.00	10.00	220.00	4.90	65.00	27.00	15.00	3.00	20.00	2.00	30.00	3.00
SouthHighCommunity(Worcester)	1278.00	5561.00	45106.00	421.00	432.00	0.52	228.00	227.00	13.00	256.00	5.80	72.00	28.00	24.00	2.00	18.00	3.00	14.00	11.00
Stoneham	760.00	7502.00	47926.00	481.00	475.00	0.86	250.00	245.00	13.00	253.00	1.10	81.00	9.00	23.00	1.00	48.00	0.00	10.00	9.00
Stoughton	1104.00	6574.00	46801.00	494.00	499.00	0.80	243.00	241.00	12.00	184.00	1.80	81.00	16.00	23.00	3.00	39.00	4.00	13.00	2.00
Swampscott	778.00	6728.00	45906.00	568.00	584.00	0.88	250.00	249.00	15.00	389.00	1.90	87.00	9.00	24.00	8.00	46.00	2.00	9.00	2.00
Taunton	1852.00	6447.00	48824.00	499.00	483.00	0.61	234.00	233.00	19.00	168.00	3.20	71.00	23.00	25.00	2.00	21.00	4.00	13.00	12.00
TewksburyMemorial	887.00	6370.00	48255.00	478.00	490.00	0.94	240.00	243.00	13.00	222.00	1.40	86.00	24.00	32.00	2.00	28.00	3.00	9.00	2.00
Triton(Newbury.Rowley.Salisbury)	858.00	6281.00	45003.00	509.00	500.00	0.55	243.00	242.00	15.00	286.00	1.80	68.00	18.00	27.00	1.00	22.00	1.00	6.00	25.00
WakefieldMemorial	985.00	6527.00	48522.00	525.00	535.00	0.79	246.00	240.00	14.00	246.00	0.30	85.00	14.00	28.00	2.00	41.00	2.00	0.00	13.00
Walpole	898.00	5939.00	43661.00	510.00	533.00	0.94	245.00	243.00	16.00	225.00	1.20	89.00	6.00	28.00	6.00	49.00	1.00	3.00	7.00
WalthamSenior	1497.00	8888.00	44838.00	477.00	479.00	0.68	237.00	237.00	12.00	214.00	2.00	76.00	19.00	21.00	2.00	34.00	1.00	10.00	13.00
WarehamSenior	921.00	7857.00	44554.00	484.00	468.00	0.75	244.00	237.00	15.00	184.00	1.20	82.00	25.00	28.00	3.00	26.00	4.00	8.00	6.00
Watertown	787.00	8271.00	52346.00	500.00	525.00	0.77	240.00	240.00	16.00	197.00	1.30	75.00	17.00	11.00	6.00	41.00	1.00	16.00	8.00
Wayland	801.00	7530.00	49204.00	571.00	591.00	0.95	259.00	257.00	14.00	134.00	0.50	87.00	0.00	16.00	7.00	64.00	1.00	1.00	11.00
WellesleySenior	920.00	8070.00	53277.00	594.00	596.00	0.95	255.00	254.00	12.00	184.00	0.20	90.00	1.00	23.00	0.00	66.00	0.00	2.00	8.00
WestBridgewaterJunior-Senior	431.00	7349.00	46781.00	500.00	479.00	0.82	239.00	241.00	11.00	216.00	0.00	91.00	29.00	45.00	5.00	12.00	0.00	4.00	5.00
Westborough	822.00	7434.00	48484.00	539.00	559.00	0.90	251.00	253.00	11.00	274.00	0.60	92.00	7.00	25.00	1.00	59.00	3.00	4.00	1.00
WestfordAcademy	1168.00	6235.00	45750.00	556.00	574.00	0.95	248.00	251.00	13.00	234.00	1.10	89.00	14.00	28.00	2.00	45.00	1.00	6.00	4.00
Weston	550.00	10537.00	52586.00	609.00	616.00	1.00	254.00	253.00	10.00	183.00	0.00	94.00	3.00	15.00	1.00	75.00	2.00	1.00	3.00
Westwood	647.00	8805.00	45653.00	542.00	558.00	0.97	253.00	249.00	12.00	162.00	0.20	96.00	0.00	33.00	1.00	62.00	2.00	1.00	2.00
Weymouth	1400.00	6266.00	46675.00	508.00	500.00	0.76	238.00	237.00	13.00	233.00	5.40	73.00	18.00	18.00	4.00	33.00	2.00	13.00	12.00
WhitmanHansonRegional	1125.00	5785.00	45795.00	504.00	502.00	0.75	241.00	239.00	14.00	225.00	3.00	73.00	18.00	24.00	4.00	27.00	3.00	19.00	5.00
Wilmington	800.00	7300.00	47996.00	515.00	516.00	0.81	242.00	240.00	12.00	267.00	0.00	89.00	16.00	28.00	0.00	45.00	1.00	9.00	1.00
Winchester	907.00	7077.00	49461.00	557.00	576.00	0.95	252.00	251.00	12.00	227.00	0.70	89.00	4.00	22.00	1.00	62.00	0.00	5.00	6.00
Winthrop_Senior	523.00	6477.00	38983.00	493.00	481.00	0.92	241.00	235.00	11.00	262.00	4.50	78.00	12.00	30.00	3.00	33.00	3.00	14.00	5.00
Woburn	1275.00	7220.00	51424.00	485.00	514.00	0.78	244.00	242.00	14.00	213.00	1.80	80.00	17.00	27.00	1.00	35.00	0.00	16.00	4.00
