Norm	Pcntile	ztimes100
0.1800	57.3750	18.0000
0.3870	64.7500	38.7000
-0.0280	49.3750	-2.8000
-1.1680	12.3750	-116.8000
-0.5700	27.8750	-57.0000
0.6760	77.3750	67.6000
-0.3250	35.7500	-32.5000
-0.0030	50.8750	-0.3000
0.4000	65.5000	40.0000
0.8210	82.8750	82.1000
0.9510	85.7500	95.1000
0.7140	78.6250	71.4000
-0.2200	39.6250	-22.0000
0.8320	83.1250	83.2000
0.8100	82.0000	81.0000
1.5020	94.6250	150.2000
-0.4890	30.5000	-48.9000
1.2850	93.6250	128.5000
2.3160	98.6250	231.6000
1.2540	93.1250	125.4000
0.1590	56.8750	15.9000
1.1430	91.1250	114.3000
0.6370	75.3750	63.7000
-0.0050	50.3750	-0.5000
-0.6240	26.3750	-62.4000
-0.6000	26.8750	-60.0000
0.4680	68.1250	46.8000
-0.1360	44.8750	-13.6000
0.2040	58.1250	20.4000
1.0460	88.1250	104.6000
0.1970	57.8750	19.7000
-0.7000	22.6250	-70.0000
0.7000	78.1250	70.0000
-0.9420	17.1250	-94.2000
0.4720	68.3750	47.2000
2.5130	99.1250	251.3000
-0.1990	41.6250	-19.9000
0.2630	61.1250	26.3000
-0.8330	19.6250	-83.3000
0.6400	75.6250	64.0000
-0.6500	24.6250	-65.0000
0.0180	52.1250	1.8000
1.0540	88.3750	105.4000
-0.4280	32.6250	-42.8000
-0.1330	45.3750	-13.3000
-0.1830	42.8750	-18.3000
-0.6460	24.8750	-64.6000
0.9170	85.1250	91.7000
-1.9110	2.3750	-191.1000
0.4190	66.3750	41.9000
-0.1690	43.3750	-16.9000
0.7540	80.3750	75.4000
-0.2970	37.6250	-29.7000
-0.3960	33.6250	-39.6000
-1.1170	13.3750	-111.7000
1.9040	97.6250	190.4000
0.6840	77.6250	68.4000
1.3420	94.1250	134.2000
0.7300	79.3750	73.0000
-0.7860	20.5000	-78.6000
-0.6440	25.1250	-64.4000
0.5080	70.7500	50.8000
-0.3110	36.7500	-31.1000
-2.9900	0.3750	-299.0000
0.7830	81.1250	78.3000
-1.7240	5.3750	-172.4000
-0.1030	46.0000	-10.3000
-1.5530	7.1250	-155.3000
1.3490	94.3750	134.9000
-1.1100	13.8750	-111.0000
-0.8810	17.8750	-88.1000
0.5150	71.3750	51.5000
0.1280	55.8750	12.8000
-0.7210	21.8750	-72.1000
-1.2770	11.3750	-127.7000
0.6290	74.8750	62.9000
-0.6020	26.6250	-60.2000
-0.0420	48.8750	-4.2000
0.4350	66.8750	43.5000
1.1210	90.3750	112.1000
-0.0670	46.8750	-6.7000
0.6050	74.5000	60.5000
-0.2340	39.3750	-23.4000
0.0760	53.8750	7.6000
1.0570	88.7500	105.7000
0.2170	58.7500	21.7000
-1.3390	10.6250	-133.9000
-1.8010	4.1250	-180.1000
0.5910	73.8750	59.1000
-0.2590	38.1250	-25.9000
-0.6920	23.1250	-69.2000
0.1000	55.1250	10.0000
-0.1940	42.1250	-19.4000
2.9860	99.8750	298.6000
0.2050	58.3750	20.5000
-1.3050	11.0000	-130.5000
0.4980	69.5000	49.8000
1.1390	90.6250	113.9000
-0.5390	29.1250	-53.9000
0.5770	73.6250	57.7000
2.5530	99.3750	255.3000
-0.0050	50.3750	-0.5000
-0.4830	31.3750	-48.3000
-0.8770	18.2500	-87.7000
-0.8540	19.0000	-85.4000
0.2510	60.3750	25.1000
-1.1120	13.6250	-111.2000
-0.4110	33.1250	-41.1000
-1.1220	13.1250	-112.2000
-0.1640	43.8750	-16.4000
-0.5640	28.1250	-56.4000
-0.6290	25.8750	-62.9000
-0.7020	22.3750	-70.2000
-2.5670	1.1250	-256.7000
0.0500	53.1250	5.0000
0.4490	67.2500	44.9000
0.3640	63.8750	36.4000
-2.7100	0.6250	-271.0000
-0.9470	16.6250	-94.7000
-1.8400	3.3750	-184.0000
-0.0610	47.7500	-6.1000
-1.7960	4.3750	-179.6000
1.8530	97.1250	185.3000
-0.9690	15.6250	-96.9000
-2.6170	0.8750	-261.7000
-2.1460	1.8750	-214.6000
-0.1030	46.0000	-10.3000
1.2240	92.6250	122.4000
-0.6910	23.3750	-69.1000
1.1580	91.3750	115.8000
-1.3450	10.1250	-134.5000
0.5250	71.6250	52.5000
0.1290	56.1250	12.9000
-0.1050	45.6250	-10.5000
0.4520	67.7500	45.2000
0.9140	84.8750	91.4000
0.3010	62.1250	30.1000
-0.3180	36.1250	-31.8000
1.2340	92.8750	123.4000
-0.3710	34.2500	-37.1000
-1.5670	6.6250	-156.7000
0.0800	54.1250	8.0000
1.1030	89.8750	110.3000
-1.8530	3.1250	-185.3000
1.0110	87.6250	101.1000
-0.4780	31.6250	-47.8000
2.1800	98.3750	218.0000
0.1160	55.3750	11.6000
0.9510	85.7500	95.1000
0.3270	62.7500	32.7000
-0.0540	48.3750	-5.4000
0.2530	60.6250	25.3000
-1.3050	11.0000	-130.5000
-0.3130	36.3750	-31.3000
0.0400	52.6250	4.0000
1.2750	93.3750	127.5000
0.4880	69.1250	48.8000
-3.2590	0.1250	-325.9000
0.0910	54.3750	9.1000
-0.5030	29.8750	-50.3000
-0.8570	18.6250	-85.7000
-1.1400	12.6250	-114.0000
-0.0050	50.3750	-0.5000
-0.8770	18.2500	-87.7000
-0.1520	44.3750	-15.2000
-0.4890	30.5000	-48.9000
-1.3420	10.3750	-134.2000
0.1200	55.6250	12.0000
-1.4820	8.1250	-148.2000
-0.0360	49.1250	-3.6000
-0.0760	46.6250	-7.6000
1.8410	96.8750	184.1000
-0.4320	32.3750	-43.2000
-1.6010	6.1250	-160.1000
1.1950	91.6250	119.5000
-0.5080	29.6250	-50.8000
-1.4230	9.1250	-142.3000
-0.3060	37.1250	-30.6000
1.8350	96.5000	183.5000
-1.4660	8.6250	-146.6000
-0.2550	38.6250	-25.5000
1.0910	89.1250	109.1000
1.2210	92.3750	122.1000
1.0030	87.3750	100.3000
0.4860	68.8750	48.6000
-1.7300	5.1250	-173.0000
0.7240	78.8750	72.4000
-0.9600	15.8750	-96.0000
-0.0870	46.3750	-8.7000
0.6540	76.2500	65.4000
0.1820	57.6250	18.2000
-0.0610	47.7500	-6.1000
0.4140	66.1250	41.4000
-1.4940	7.6250	-149.4000
-1.6510	5.6250	-165.1000
-1.0950	14.3750	-109.5000
-0.1780	43.1250	-17.8000
-0.5850	27.3750	-58.5000
-0.6250	26.1250	-62.5000
0.3140	62.3750	31.4000
-0.9070	17.3750	-90.7000
0.2420	59.8750	24.2000
0.5420	72.1250	54.2000
-1.4910	7.8750	-149.1000
0.6320	75.1250	63.2000
-0.1430	44.6250	-14.3000
-0.3380	34.8750	-33.8000
0.9370	85.3750	93.7000
-0.6840	23.6250	-68.4000
-0.0580	48.1250	-5.8000
-0.2580	38.3750	-25.8000
-0.8840	17.6250	-88.4000
-1.5720	6.3750	-157.2000
0.2280	59.1250	22.8000
0.3390	63.3750	33.9000
0.7820	80.8750	78.2000
0.4980	69.5000	49.8000
-0.9550	16.2500	-95.5000
0.7490	79.8750	74.9000
-0.7650	21.1250	-76.5000
-1.3480	9.8750	-134.8000
-1.4210	9.3750	-142.1000
1.6440	95.1250	164.4000
-0.1870	42.6250	-18.7000
-0.7980	20.1250	-79.8000
-0.5010	30.1250	-50.1000
-0.4060	33.3750	-40.6000
0.6540	76.2500	65.4000
-0.9880	15.3750	-98.8000
-1.8290	3.8750	-182.9000
0.2400	59.5000	24.0000
-0.2020	41.2500	-20.2000
0.0290	52.3750	2.9000
0.9810	86.6250	98.1000
-0.1660	43.6250	-16.6000
0.8130	82.3750	81.3000
1.5940	94.8750	159.4000
0.2170	58.7500	21.7000
-0.9550	16.2500	-95.5000
-0.0510	48.6250	-5.1000
-0.2350	39.1250	-23.5000
-1.4400	8.8750	-144.0000
-1.0860	14.6250	-108.6000
0.1370	56.3750	13.7000
-1.1870	12.1250	-118.7000
-1.5540	6.8750	-155.4000
0.0940	54.8750	9.4000
-0.6820	23.8750	-68.2000
-0.5560	28.8750	-55.6000
-0.2090	40.6250	-20.9000
-0.5870	27.1250	-58.7000
0.3870	64.7500	38.7000
-0.3950	33.8750	-39.5000
-0.2870	37.8750	-28.7000
0.5140	71.1250	51.4000
0.5080	70.7500	50.8000
0.7890	81.3750	78.9000
-0.2190	39.8750	-21.9000
0.0420	52.8750	4.2000
1.1020	89.6250	110.2000
0.6050	74.5000	60.5000
1.8960	97.3750	189.6000
-1.0980	14.1250	-109.8000
-0.2130	40.3750	-21.3000
-0.6650	24.3750	-66.5000
1.8160	96.1250	181.6000
0.0170	51.8750	1.7000
-1.7580	4.6250	-175.8000
-1.4980	7.3750	-149.8000
0.8670	83.8750	86.7000
0.8400	83.3750	84.0000
0.5560	73.1250	55.6000
-1.4780	8.3750	-147.8000
1.1410	90.8750	114.1000
2.3760	98.8750	237.6000
-0.1880	42.3750	-18.8000
0.0700	53.6250	7.0000
0.7250	79.1250	72.5000
-0.0650	47.1250	-6.5000
0.6030	74.1250	60.3000
0.7520	80.1250	75.2000
