N	Autumn	Winter	Spring
353	5	10	10
354	10	10	20
355	30		15
356	5	10	10
357	10	10	10
358	10	8	15
359	3	15	10
360	15	20	
361	5	15	15
362	2		20
363	10		20
364	6	15	
365	15	15	20
366	25	15	30
367	20	20	50
368	20	10	20
369	20		40
370	5	15	30
371	15	15	
372	6		60
373	8	15	30
374	10	15	15
375			20
376	5		40
377	10	10	15
378	10	10	15
379	0		30
380	0	10	30
381	0	20	30
382	0	5	30
383	0		40
384	0	10	50
385	0		50
386	0	20	50
387	1	10	35
388	0	15	60
389	1	15	
390	2		35
391	3	15	25
392	2	15	20
393	3	10	
394	3	10	30
395	2	15	25
396	3	15	25
397	5	15	
398	2	15	20
399	3		25
400	7	15	15
401	20	20	20
402	10	15	5
403	10	10	10
404	30		5
405	20	20	5
406	20	20	3
407	10	20	5
408	10		3
409		20	4
410	20	15	5
411	10	10	4
412	10	15	5
413	10	10	4
414	5		3
415	8		3
416			
417	5	12	4
418	5	10	
419	5	20	2
420	10	10	2
421	5	10	5
422	5	15	3
423	3	15	4
424	5	10	
425	10	10	0
426	5	15	0
427	10	15	0
428	5	15	0
429	2	15	2
430	1		0
431	5	10	0
432	5	10	0
433	2	10	0
434	0	10	1
435	0	15	1
436	0	20	0
437	2	20	0
438	0	20	1
439	0	20	0
440	0	20	1
441	0	15	10
442	3	15	10
443	0	10	
444	25	20	10
445	30	20	10
446		20	10
447	10	20	5
448		25	10
449	10	10	5
450	15	15	10
451	20	20	10
452		20	10
453	10		20
454	10	20	20
455	5	35	10
456	5	40	
457	10		
458	10	30	15
459	10		20
460	10	10	20
461	10	10	25
462		25	20
463	10	20	
464	5	50	25
465	15	40	25
466	10	10	50
467	15	10	50
468		25	50
469		10	30
470	25		40
471	25	20	50
472	20	40	40
473	20	40	50
474	20	20	
475	15	20	60
476		40	
477	20		50
478	25	30	100
479	20	20	60
480	15	30	80
481	10	30	
482	25	15	60
483		25	100
484	10	15	40
485	10	20	50
486	25	15	120
487	0	15	60
488	0	15	80
489	0	10	
490	0	20	80
491	0	15	50
492	0	10	80
493	0		120
494	0	10	80
495	1		50
496	0		50
497	0	10	40
498	0	10	40
499	3	10	30
500	5	15	15
501	0	30	25
502	3		20
503	10		20
504	30		25
505	30	40	
506	15	20	15
507	10	20	15
508		20	20
509	15	15	10
510	20	30	
511	20	40	10
512	20	35	
513	10	30	5
514	15	20	8
515	10	20	5
516	20	30	5
517	25	15	1
518	20		0
519	20	25	0
520	50	25	4
521	30	25	1
522		20	0
523	30	25	2
524	20		0
525	30		0
526	60	15	0
527		25	0
528	40	25	0
529	10		
530	15	30	10
531	10	25	10
532	25	15	10
533	20	15	10
534	15	15	10
535	20	10	15
536		20	15
537	25	30	20
538	30	40	15
539	40	30	20
540	20	10	10
541	0	30	15
542	1	20	
543	0	20	15
544	1	15	10
545	1	10	20
546	1	10	20
547	1	25	20
548	9	40	20
549	0	20	20
550	1	30	20
551	1		20
552	0		
553	0		40
554	5		40
555	5		40
556	20	40	
557	10	10	50
558	20	25	40
559	20		50
560			30
561	20		20
562	20		25
563	25		20
564	20	30	20
565	25	60	65
566	25	60	50
567	20	60	50
568	30	50	30
569	50	50	40
570	60	40	
571	30	30	40
572	50	50	40
573	20		30
574		50	15
575	25	50	35
576	25	60	20
577		30	
578		40	30
579	50	20	25
580	40	60	25
581	25	60	50
582	20	40	40
583	40	50	25
584	40	35	
585		40	25
586	40	40	25
587	40	50	40
588	40	50	
589	20	60	
590	30	50	25
591	20	50	
592	25	40	25
593		30	20
594	10	40	10
595	0	40	10
596	0	30	5
597	0	30	5
598	0	30	
599	0	30	8
600	1	35	
601	0	25	4
602	0	40	1
603	2	20	2
604	2	20	2
605	2	15	0
606	1	15	0
607	8	20	2
608	15	30	1
609	5	25	0
610	0	25	0
611	2	25	0
612	3	30	2
613	3	30	0
614	15	40	0
615	15	30	0
616	10	30	0
617	10		10
618	10	30	10
619	10	30	20
620		15	10
621	20	30	15
622	15		15
623	10	30	20
624	15		20
625	10	30	20
626	10	20	20
627		25	20
628	20	30	25
629	20		
630	10		20
631	10	20	15
632	15		15
633	15	15	25
634		15	25
635	30	10	15
636	25		10
637	30	15	30
638	15	10	
639	30	5	25
640	20	25	30
641		10	15
642	20	5	20
643	60	10	30
644	50	10	10
645			30
646		10	30
647		10	30
648	15		20
649	0	10	10
650	0	15	10
651	0		10
652	0	5	20
653	0	5	30
654	0	5	30
655	0	5	50
656	0	10	20
657	5	10	
658	5	10	25
659	5	10	25
660	1	5	40
661	2	5	30
662	2	10	30
663	0	15	20
664	5	10	
665	0		25
666	2	10	30
667	8	15	40
668	4	10	20
669	30	10	
670	20	5	30
671	25	5	
672	15	15	20
673			
674	25	25	35
675	30	10	40
676	20	10	
677	15	5	35
678	25	5	40
679	20		35
680		15	30
681	25	10	25
682	30	15	10
683	30	15	20
684	20	20	15
685			
686	25		20
687	15		10
688	30		
689	30		10
690	30	15	5
691	30	15	5
692	35	10	0
693	40	10	0
694		10	3
695	40	15	1
696		10	1
697	40	15	
698	40	20	1
699	40	15	
700	50	15	2
701	30	30	1
702	40		0
703	0	15	0
704	0	25	0
705	0	15	15
706	0	10	15
707	0	25	15
708	0	25	15
709	0	20	20
710	0	20	
711	0	25	25
712	0	35	25
713	0	30	20
714	0	40	
715	0		20
716	0	30	20
717	1	40	30
718	0	35	30
719	3	30	30
720	2		30
721	1	10	30
722	1	15	10
723	10		10
724	10	20	20
725	15	25	20
726		50	20
727	10	50	15
728	5	50	15
729	8		20
730	1	20	15
731	5	15	30
732	8	15	25
733		15	30
734	8	10	
735	15	20	15
736	15		10
737	5		
738	10		30
739	5		40
740	5	15	40
741	15	15	30
742		10	30
743	15	10	20
744	0	10	30
745	10	15	
746	0	10	25
747	5	15	25
748	0	20	25
749	5	25	20
750	5	15	20
751	10	15	
752	5	5	30
753	5	20	40
754	5	40	20
755	5	20	
756	5	20	20
757	0	10	15
758	0	15	
759	0	10	20
760	0	10	20
761	1	20	10
762	0	20	10
763	2	10	15
764	2	25	
765	0	25	
766	1	15	5
767	2		5
768	1	15	2
769	2	5	1
770		5	0
771	2		0
772		20	0
773		10	1
774			0
775		10	0
776		10	
777		5	0
778	4		0
779	4	10	0
780	5	10	0
781	5	10	0
782	10	10	0
783	5	10	0
784	1	10	0
785	3	10	0
786	15	5	0
787	10	8	0
788	5	5	0
789	3	2	0
790	4	10	0
791	2	10	0
792	3	5	0
793	10	10	10
794		6	
795	8	10	15
796	2	5	10
797	5	5	15
798	5	5	20
799	2	10	20
800	20	10	20
801	25		15
802			20
803	30		30
804	30		30
805	10		25
806	5		25
807	25		25
808	25		20
809			20
810	30		20
811	0		20
812	0		30
813	0		40
814	0		40
815	0		30
816			30
817	4		25
818	0		40
819	0		50
820	0		40
821	0		40
822	2		30
823	8		40
824	2		40
825	1		40
826	1		40
827	1		30
828	3		30
829	10		20
830	8		25
831			50
832	20		50
833	15		
834	15		40
835	10		30
836	10		30
837	15		50
838	5		
839	15		50
840	15		40
841	20		30
842	15		40
843	5		35
844	10		30
845	5		25
846	10		30
847	10		20
848	10		20
849	20		25
850	10		25
851	10		15
852			
853	10		20
854	15		15
855	5		15
856	10		25
857	8		30
858	15		20
859	8		
860	15		25
861	10		20
862	10		10
863	20		10
864	15		15
865	.		30
866			
867			10
868			4
869			5
870			3
871			0
872			1
873			0
874			0
875			0
876			1
877			1
878			0
879			0
880			0
881			40
882			30
883			
884			30
885			30
886			20
887			20
888			30
889			40
890			50
891			30
892			30
893			15
894			
895			20
896			
897			25
898			40
899			40
900			30
901			20
902			10
903			15
904			30
905			25
906			50
907			50
908			50
909			30
910			
911			40
912			50
913			50
914			60
915			50
916			20
917			25
918			20
919			25
920			30
921			25
922			
923			10
924			20
925			40
926			50
927			50
928			70
929			20
930			20
931			
932			30
933			50
934			50
935			20
936			40
937			50
938			
939			50
940			
941			50
942			20
943			2
944			15
945			
946			4
947			2
948			3
949			2
950			3
951			5
952			
953			1
954			3
955			1
956			0
957			0
958			0
959			0
960			0
961			0
962			0
963			0
964			0
965			0
966			0
967			0
968			0
969			35
970			30
971			30
972			45
973			40
974			30
975			30
976			
977			25
978			30
979			30
980			
981			30
982			30
983			50
984			80
985			50
986			60
987			60
988			30
989			40
990			40
991			60
992			60
993			80
994			80
995			60
996			
997			60
998			60
999			
1000			60
1001			80
1002			80
1003			30
1004			25
1005			25
1006			20
1007			30
1008			25
1009			
1010			60
1011			
1012			60
1013			60
1014			15
1015			20
1016			20
1017			20
1018			20
1019			20
1020			30
1021			20
1022			50
1023			50
1024			40
1025			20
1026			20
1027			25
1028			20
1029			20
1030			30
1031			50
1032			
1033			25
1034			50
1035			40
1036			50
1037			
1038			15
1039			
1040			
1041			40
1042			30
1043			25
1044			10
1045			5
1046			
1047			5
1048			3
1049			3
1050			3
1051			0
1052			0
1053			1
1054			2
1055			0
1056			0
1057			10
1058			10
1059			15
1060			15
1061			
1062			15
1063			15
1064			15
1065			5
1066			
1067			15
1068			
1069			40
1070			30
1071			50
1072			50
1073			50
1074			60
1075			40
1076			
1077			60
1078			
1079			60
1080			60
1081			40
1082			50
1083			40
1084			50
1085			60
1086			50
1087			40
1088			50
1089			50
1090			
1091			60
1092			60
1093			60
1094			30
1095			15
1096			50
1097			
1098			
1099			40
1100			50
1101			20
1102			15
1103			30
1104			25
1105			20
1106			25
1107			25
1108			20
1109			30
1110			35
1111			
1112			
1113			
1114			
1115			20
1116			
1117			30
1118			25
1119			
1120			15
1121			30
1122			30
1123			20
1124			20
1125			20
1126			
1127			5
1128			2
1129			5
1130			15
1131			15
1132			0
1133			
1134			0
1135			0
1136			0
1137			0
1138			0
1139			0
1140			0
1141			0
1142			0
1143			0
1144			0
1145			15
1146			20
1147			10
1148			10
1149			10
1150			25
1151			20
1152			25
1153			15
1154			25
1155			15
1156			
1157			
1158			
1159			
1160			
1161			30
1162			15
1163			15
1164			20
1165			15
1166			15
1167			20
1168			15
1169			5
1170			10
1171			10
1172			15
1173			15
1174			15
1175			20
1176			15
1177			15
1178			15
1179			15
1180			25
1181			25
1182			40
1183			25
1184			20
1185			
1186			100
1187			100
1188			
1189			100
1190			100
1191			100
1192			
1193			120
1194			100
1195			60
1196			100
1197			60
1198			50
1199			
1200			80
1201			60
1202			30
1203			20
1204			
1205			30
1206			
1207			25
1208			15
1209			20
1210			20
1211			15
1212			20
1213			
1214			15
1215			15
1216			
1217			10
1218			
1219			10
1220			
1221			10
1222			5
1223			5
1224			3
1225			2
1226			1
1227			0
1228			3
1229			2
1230			3
1231			3
1232			10
1233			15
1234			20
1235			10
1236			10
1237			10
1238			25
1239			20
1240			25
1241			15
1242			25
1243			
1244			35
1245			30
1246			35
1247			50
1248			60
1249			
1250			
1251			
1252			
1253			
1254			
1255			
1256			
1257			
1258			60
1259			40
1260			35
1261			40
1262			50
1263			30
1264			
1265			60
1266			60
1267			40
1268			30
1269			50
1270			50
1271			30
1272			25
1273			40
1274			50
1275			50
1276			60
1277			25
1278			
1279			30
1280			20
1281			15
1282			15
1283			20
1284			20
1285			15
1286			15
1287			10
1288			5
1289			5
1290			6
1291			20
1292			
1293			25
1294			15
1295			10
1296			4
1297			5
1298			
1299			
1300			1
1301			0
1302			0
1303			1
1304			
1305			
1306			
1307			
1308			
1309			
1310			1
1311			0
1312			0
1313			0
1314			0
1315			0
1316			0
1317			0
1318			0
1319			0
1320			0
1321			5
1322			10
1323			5
1324			5
1325			3
1326			5
1327			8
1328			5
1329			5
1330			5
1331			5
1332			8
1333			25
1334			25
1335			25
1336			20
1337			20
1338			20
1339			20
1340			30
1341			40
1342			40
1343			30
1344			30
1345			25
1346			40
1347			50
1348			40
1349			40
1350			30
1351			40
1352			40
1353			40
1354			40
1355			30
1356			30
1357			20
1358			25
1359			50
1360			50
1361			
1362			40
1363			30
1364			30
1365			50
1366			
1367			50
1368			40
1369			30
1370			40
1371			35
1372			30
1373			25
1374			30
1375			20
1376			20
1377			25
1378			25
1379			15
1380			
1381			20
1382			15
1383			15
1384			25
1385			30
1386			20
1387			
1388			25
1389			20
1390			10
1391			10
1392			15
1393			30
1394			
1395			10
1396			4
1397			5
1398			3
1399			0
1400			0
1401			0
1402			0
1403			0
1404			1
1405			1
1406			0
1407			0
1408			0
